,Titulo,Precio,Ubicacion
45,Chevrolet Tracker 1.2 Premier Turbo At,3.759.900,Capital Federal - Capital Federal
46,Fiat Cronos 1.8 16v Precision At6 Pack Premium,2.100.000,Vicente López - Bs.As. G.B.A. Norte
47,Chevrolet Tracker 1.2 Ltz Turbo At,3.199.900,Capital Federal - Capital Federal
48,Nissan Sentra 1.8 Sr Pure Drive,3.165.000,San Miguel de Tucumán - Tucumán
49,Citroën Ds4 1.6 Sport Chic Thp 163cv Tiptronic,1.880.000,San Miguel de Tucumán - Tucumán
50,Volkswagen Taos Comfortline,3.400.000,Yerba Buena - Tucumán
51,Peugeot 3008 2.0 Gt-line Hdi Tiptronic,28.000,Yerba Buena - Tucumán
52,Volkswagen Amarok 3.0 V6 Extreme,7.050.000,San Miguel de Tucumán - Tucumán
53,Chevrolet S10 2.8 Lt Cd Tdci 200cv 4x4,4.499.999,San Miguel de Tucumán - Tucumán
54,Volkswagen Amarok 2.0 Cs Tdi 140cv Trendline 4x2,2.700.000,San Miguel de Tucumán - Tucumán
55,Renault Duster 2.0 Ph2 4x2 Privilege 143cv,1.600.000,Graneros - Tucumán
56,Bmw Serie 1 3.0 M Coupe 340cv,69.500,San Miguel de Tucumán - Tucumán
57,Peugeot 308 1.6 Allure Nav Hdi 115cv,1.315.000,San Miguel de Tucumán - Tucumán
58,Bmw X3 2.0 Xdrive 28i Xline 245cv,6.500.000,San Miguel de Tucumán - Tucumán
59,Renault Alaskan 2.3 Bit 16v Iconic At 4x4,5.570.000,San Miguel de Tucumán - Tucumán
60,Honda Fit 1.5 Ex,695.000,San Miguel de Tucumán - Tucumán
61,Fiat Argo Todas,429.000,Yerba Buena - Tucumán
62,Fiat Mobi 1.0,781.500,San Miguel de Tucumán - Tucumán
63,Fiat Uno Anticipo $100.000 + Cuotas,1.165.000,San Miguel de Tucumán - Tucumán
64,Peugeot Expert 1.6 Hdi Confort,2.300.000,San Miguel de Tucumán - Tucumán
65,Honda Cr-v 2.4 Lx 2wd 185cv At,2.715.000,San Miguel de Tucumán - Tucumán
66,Chevrolet Cruze 1.8 Ltz At 141cv,3.150.000,San Miguel de Tucumán - Tucumán
67,Renault Duster 2.0 Ph2 4x2 Privilege 143cv,2.450.000,San Miguel de Tucumán - Tucumán
68,Ford Ranger 2.2 Cd 4x2 Xl Tdci 125cv,2.250.000,San Miguel de Tucumán - Tucumán
69,Jeep Wrangler 3.6 Unlimited 284hp Atx,50.000,San Miguel de Tucumán - Tucumán
70,Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,4.444.444,San Miguel de Tucumán - Tucumán
71,Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,95.000,San Miguel de Tucumán - Tucumán
72,Mercedes-benz Clase E 3.5 Coupe E350 Sport,24.500,San Miguel de Tucumán - Tucumán
73,Honda Cr-v 2.4 Lx 2wd 185cv At,3.800.000,Yerba Buena - Tucumán
74,Toyota Hilux 2.8 Cd Srv 177cv 4x4 At,5.000.000,Yerba Buena - Tucumán
75,Dodge Journey 2.4 Sxt Atx (3 Filas)+dvd+techo,1.450.000,San Miguel de Tucumán - Tucumán
76,Toyota Sw4 2.8 Srx 177cv 4x4 7as At,5.700.000,San Miguel de Tucumán - Tucumán
77,Volkswagen Suran 1.6 Imotion Highline,984.000,San Miguel de Tucumán - Tucumán
78,Nissan Kicks 1.6 Advance 120cv,2.696.000,San Miguel de Tucumán - Tucumán
79,Bmw Serie 2 2.0 220i Sport Line 184cv,42.000,Yerba Buena - Tucumán
80,Bmw X1 2.0 Xdrive 20d Active 177cv,18.000,San Miguel de Tucumán - Tucumán
81,Citroën Aircross 1.6 L,1.240.000,San Miguel de Tucumán - Tucumán
82,Honda Fit 1.4 Lx-l Mt 100cv,1.285.000,San Miguel de Tucumán - Tucumán
83,Mercedes-benz Sprinter 415 Te 10+1 Fest,4.200.000,San Miguel de Tucumán - Tucumán
84,Mercedes-benz A200 Automatico A200,3.200.000,San Miguel de Tucumán - Tucumán
85,Toyota Corolla 1.8 Se-g Mt L/11,1.450.000,San Miguel de Tucumán - Tucumán
86,Chevrolet C-20 C20 Deluxe Motor 250,800.000,San Miguel de Tucumán - Tucumán
87,Nissan Kicks 1.6 Advance Cvt,2.300.000,Yerba Buena - Tucumán
88,Mercedes-benz C250 Cgi Blue C250 Cgi Amg,3.200.000,San Miguel de Tucumán - Tucumán
89,Honda Cr-v Honda Crv Lx At 4x2,4.000.000,San Miguel de Tucumán - Tucumán
90,Ford Ecosport 1.6 Se 110cv 4x2,1.210.000,Yerba Buena - Tucumán
91,Bmw Serie 1 1.6 118i Urban 170cv At,2.500.000,Yerba Buena - Tucumán
92,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline C34,3.500.000,Yerba Buena - Tucumán
93,Fiat Toro 2.0 Volcano 4x4 At,3.000.000,Chicligasta - Tucumán
94,Toyota Hilux 3.0 Cd Srv I 171cv 4x2,2.850.000,San Miguel de Tucumán - Tucumán
95,Citroën Berlingo 1.6 Hdi 92 Bussines Mixto,1.700.000,San Miguel de Tucumán - Tucumán
96,Kia Sorento Crdi 2.2 Diésel 4x4,5.600.000,San Miguel de Tucumán - Tucumán
97,Subaru Impreza Srx Sti,25.000,Yerba Buena - Tucumán
98,Audi A3 Sportback 1.4 Tfsi Stronic 122cv,21.000,Yerba Buena - Tucumán
99,Audi Q5 2.0t 180 Hp Manual,19.000,San Miguel de Tucumán - Tucumán
100,Volkswagen Bora Highline 1.9 Tdi,850.000,Yerba Buena - Tucumán
101,Toyota Hilux 2.8 Cd Srv 177cv 4x2 At,33.000,Yerba Buena - Tucumán
102,Jeep Renegade 1.8 Sport,2.901.010,San Miguel de Tucumán - Tucumán
103,Volkswagen Amarok 3.0 V6 Cd Highline,7.313.022,Tafí del Valle - Tucumán
104,Fiat Cronos 1.3 Gse Drive Pack Conectividad,1.464.403,Cruz Alta - Tucumán
105,Volkswagen Amarok 3.0 V6 Extreme,6.644.525,San Miguel de Tucumán - Tucumán
106,Fiat Fiorino 1.4 Fire Evo 87cv,1.529.000,Tafí Viejo - Tucumán
107,Fiat Toro Freedom,2.829.403,San Miguel de Tucumán - Tucumán
108,Fiat Fiorino 1.4 Fire Evo 87cv,1.529.000,Tafí Viejo - Tucumán
109,Volkswagen Vento 1.4 Highline 150cv At,4.849.700,San Miguel de Tucumán - Tucumán
110,Volkswagen Amarok 3.0 V6 Extreme,7.549.750,San Miguel de Tucumán - Tucumán
111,Volkswagen Amarok 3.0 V6 Cd Comfortline,5.899.750,San Miguel de Tucumán - Tucumán
112,Volkswagen Amarok 3.0 V6 Cd Highline,7.199.750,San Miguel de Tucumán - Tucumán
113,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,6.199.750,San Miguel de Tucumán - Tucumán
114,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,4.649.750,San Miguel de Tucumán - Tucumán
115,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,4.299.750,San Miguel de Tucumán - Tucumán
116,Volkswagen Amarok 3.0 V6 Cd Highline Leasing Resolución Inmediata Financio Tasa 0%,6.481.375,San Miguel de Tucumán - Tucumán
117,Volkswagen T-cross 1.6 Trendlinde Mt,2.649.400,Leales - Tucumán
118,Volkswagen T-cross 1.6 Trendlinde Mt,2.649.600,San Miguel de Tucumán - Tucumán
119,Volkswagen Gol Trend 1.6 Trendline 101cv,1.450.000,San Miguel de Tucumán - Tucumán
120,Fiat Cronos 1.3 Gse Drive Pack Conectividad,1.464.406,Cruz Alta - Tucumán
121,Fiat Freedom 4x4 2.0,2.290.700,Yerba Buena - Tucumán
122,Fiat Strada 1.4 Working Cs,1.660.000,San Miguel de Tucumán - Tucumán
123,Fiat Cronos 1.8 16v Precision,1.710.000,San Miguel de Tucumán - Tucumán
124,Fiat Strada 1.3 Trekking Multijet Cd,1.470.000,Termas de Río Hondo - Santiago del Estero
125,Fiat Mobi 1.0 Easy Pack Top,1.315.000,San Miguel de Tucumán - Tucumán
126,Fiat Strada 1.6 Adventure Cd Pack Top,1.765.633,San Miguel de Tucumán - Tucumán
127,Jeep Compass 2.4 Longitude,4.990.000,La Candelaria - Salta
128,Fiat Mobi 1.0 Easy Pack Top Live On,1.348.000,Tafí Viejo - Tucumán
129,Fiat Argo 1.3 Drive Gse Manual,1.610.000,Tafí Viejo - Tucumán
130,Volkswagen Amarok Comfortline V6,4.255.003,San Miguel de Tucumán - Tucumán
131,Volkswagen T-cross Trendline,1.924.929,San Miguel de Tucumán - Tucumán
132,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline Llantas16,3.550.000,San Miguel de Tucumán - Tucumán
133,Fiat Cronos 1.8 16v Precision,1.670.000,Tafí del Valle - Tucumán
134,Fiat Argo 1.3 Drive Gse Manual,1.550.000,San Miguel de Tucumán - Tucumán
135,Fiat Fiorino 1.4 Fire Evo 87cv,1.529.000,San Miguel de Tucumán - Tucumán
136,Fiat Strada 1.6 Adventure Cd Pack Top,1.360.000,San Miguel de Tucumán - Tucumán
137,Fiat Fiorino 1.4 Fire Evo 87cv,1.645.000,Yerba Buena - Tucumán
138,Jeep Renegade 2.4 Longitude At,3.672.010,Juan Bautista Alberdi - Tucumán
139,Fiat Toro 2.0 Black Jack 4x4 At,2.650.700,San Miguel de Tucumán - Tucumán
140,Fiat Strada 1.4 Working Cd,1.445.000,Yerba Buena - Tucumán
141,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,6.200.001,San Miguel de Tucumán - Tucumán
142,Fiat Cronos 1.8 16v Precision,1.730.000,San Miguel de Tucumán - Tucumán
143,Fiat Strada Volcano,1.317.000,San Miguel de Tucumán - Tucumán
144,Jeep Renegade 1.8 Sport,2.682.500,San Miguel de Tucumán - Tucumán
145,Honda Fit 1.5 Ex Mt 120cv,850.000,San Miguel de Tucumán - Tucumán
146,Ford Fiesta 1.4 Max One Tdci Edge,920.000,San Miguel de Tucumán - Tucumán
147,Hyundai Santa Fe 2.4 Gls 7as 6mt 2wd,1.810.000,San Miguel de Tucumán - Tucumán
148,Toyota Sw4 3.0 I Srv 4x4 (2009),2.510.000,San Miguel de Tucumán - Tucumán
149,Toyota Sw4 2.8 Srx 177cv 4x4 7as At,4.650.000,San Miguel de Tucumán - Tucumán
150,Fiat Toro 2.0 Freedom 4x4,2.200.012,Yerba Buena - Tucumán
151,Fiat Strada 0km - Retiralo Con Anticipo De 133mil - L,1.354.000,Graneros - Tucumán
152,Fiat Cronos 1.3 Gse Drive Pack Conectividad,1.500.000,Cruz Alta - Tucumán
153,Jeep Compass 2.4 Sport,4.414.800,Cruz Alta - Tucumán
154,Fiat Cronos 1.3 Gse Drive Pack Conectividad,1.644.950,Cruz Alta - Tucumán
155,Jeep Compass 2.4 Sport,4.340.100,Cruz Alta - Tucumán
156,Citroën Jumper 2.2 435 L2h2 Hdi 130 Mt6,4.278.000,San Miguel de Tucumán - Tucumán
157,Fiat Cronos 1.8 16v Precision,1.624.158,Cruz Alta - Tucumán
158,Fiat Fiorino 1.4 Fire Evo 87cv,1.400.012,San Miguel de Tucumán - Tucumán
159,Fiat Toro Fiat Toro 0km - Retirá Con 220mil O Tu Usado - L,2.210.000,Tafí Viejo - Tucumán
160,Bmw Z4 2.0 30i Sdrive Msport G29,119.900,Yerba Buena - Tucumán
161,Ford Focus 1.6 One Ambiente Mp3,680.000,San Miguel de Tucumán - Tucumán
162,Citroën C3 1.6 Vti 115 Feel,1.370.000,San Miguel de Tucumán - Tucumán
163,Fiat Ducato 2.3 Maxicargo Mjet Te C/abs+aa,3.300.000,Río Chico - Tucumán
164,Ford Ka 1.5 Se 5 P,1.360.000,San Miguel de Tucumán - Tucumán
165,Fiat Palio 1.4 Weekend Attractive 87cv,790.000,San Miguel de Tucumán - Tucumán
166,Peugeot 2008 1.6 Feline,2.900.300,San Miguel de Tucumán - Tucumán
167,Toyota Hilux Srv 4x2 Manual 2.8 Tdi 204 Cv L21,5.900.000,Yerba Buena - Tucumán
168,Citroën C4 Lounge 1.6 Exclusive 6at Thp 163cv Pack,1.505.000,San Miguel de Tucumán - Tucumán
169,Volkswagen Vento 2.5 Advance 170cv,1.100.000,San Miguel de Tucumán - Tucumán
170,Peugeot 308 1.6 Feline Thp 165cv Tiptronic,2.920.000,San Miguel de Tucumán - Tucumán
171,Peugeot 208 1.6l Active,2.350.000,San Miguel de Tucumán - Tucumán
172,Chevrolet Prisma 1.4 Joy Ls,1.402.000,San Miguel de Tucumán - Tucumán
173,Fiat Toro 2.0 Freedom My19 4x4 At,1.999.900,San Miguel de Tucumán - Tucumán
174,Ford Fiesta Kinetic Design 1.6 Se,1.299.000,San Miguel de Tucumán - Tucumán
175,Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,1.015.000,San Miguel de Tucumán - Tucumán
176,Toyota Corolla 1.8 Se-g Mt 136cv,1.290.000,San Miguel de Tucumán - Tucumán
177,Renault Duster 1.6 Ph2 4x2 Dynamique,1.759.000,San Miguel de Tucumán - Tucumán
178,Bmw X5 3.0 Xdrive 30d Executive 245cv,5.000.000,Yerba Buena - Tucumán
179,Peugeot 3008 1.6 Allure Thp 163cv,1.310.000,San Miguel de Tucumán - Tucumán
180,Volkswagen T-cross 1.6 Highline At,4.110.000,San Miguel de Tucumán - Tucumán
181,Volkswagen Tiguan 2.0 I Sport Plus Ii Tiptronic,1.900.000,Yerba Buena - Tucumán
182,Chevrolet Onix 1.2,18.200,San Miguel de Tucumán - Tucumán
183,Ford Fiesta 1.6 One Ambiente 98cv,1.030.000,San Miguel de Tucumán - Tucumán
184,Peugeot 2008 1.6 Feline,1.500.000,San Miguel de Tucumán - Tucumán
185,Fiat Toro 2.0 Volcano 4x4 At,2.600.000,San Miguel de Tucumán - Tucumán
186,Volkswagen Vento 1.4 Highline 150cv At,4.532.000,San Miguel de Tucumán - Tucumán
187,Jeep Grand Cherokee 3.6 Limited 286hp Atx,3.920.000,San Miguel de Tucumán - Tucumán
188,Hyundai H100 2.5 Truck Tci 100hp Con Caja+aa,1.730.000,San Miguel de Tucumán - Tucumán
189,Renault Logan 1.6 Authentique Plus 85cv,895.000,San Miguel de Tucumán - Tucumán
190,Haval H2 1.5t Luxury At,3.304.000,San Miguel de Tucumán - Tucumán
191,Peugeot 408 1.6 Allure 115cv,2.530.400,San Miguel de Tucumán - Tucumán
